calibration,dataset,n,marginal_picp,calib_picp,mpiw_delta_mean,mpiw_delta_sd,mpiw_impr_mean,mpiw_impr_sd,mpiw_strict_wins,mpiw_ties,mpiw_losses,mpiw_wins,crps_delta_mean,crps_delta_sd,crps_impr_mean,crps_impr_sd,crps_strict_wins,crps_ties,crps_losses,crps_wins,nciw_delta_mean,nciw_delta_sd,nciw_impr_mean,nciw_impr_sd,nciw_strict_wins,nciw_ties,nciw_losses,nciw_wins
binned_weighted_dis,imdb_wiki,15,0.9515383307836138,0.951266360700323,-0.05681966145833333,0.14461124683408672,0.11622888826984641,0.3227396214403043,7,5,3,12,-0.005620784161595438,0.0077772865531175765,0.07183726218434212,0.09505343286878871,10,5,0,15,-0.0005810837215282675,0.002065282087438886,0.11350442917963942,0.4121673117259183,7,5,3,12
binned_weighted_dis,mercari,15,0.9499933333333334,0.9501066666666668,0.0003249804178873698,0.007677445707768959,-0.014388935840118041,0.32077975121157876,7,5,3,12,-8.411038047048866e-05,0.00018892210605595886,0.022970611666497633,0.054126123704637694,7,5,3,12,-0.00039434712967149064,0.0008965188963794462,0.12264597667874581,0.2787725109426564,8,5,2,13
binned_weighted_dis,pawpularity,15,0.9527987897125567,0.9532694570516053,-0.2769622802734375,1.658200832694343,0.2993809592776905,2.012301120496323,7,5,3,12,0.006315186944919305,0.06841776939423168,-0.08328848441094107,0.6273907340098226,6,5,4,11,-0.00333756723476486,0.019451652964546883,0.3597984272161153,2.3470849906531153,7,5,3,12
binned_weighted_dis,sred,15,0.9433724075743916,0.9413285241959722,-0.019332075119018556,0.013669728522246108,2.648621194436302,1.6690484936732188,13,1,1,14,-0.0012284592978414075,0.0006937837298971436,1.1692692383292311,0.5476819374482039,14,1,0,15,-0.00392290840011999,0.009612937632695065,0.9816905058418647,2.531715553582463,9,1,5,10
difficulty_weighted,imdb_wiki,15,0.9515383307836138,0.952048274689784,4.434915924072266,7.510124762302429,-9.940619583006244,16.239464589282033,5,0,10,5,0.3129645724447859,0.6117546849375955,-4.01506468051027,7.878884640226352,5,0,10,5,0.047807771960115306,0.08327443972358324,-9.802320826591965,16.74601296776282,5,0,10,5
difficulty_weighted,mercari,15,0.9499933333333334,0.9506533333333334,0.19541104634602866,0.34890975767096494,-7.857330096472162,13.880078601633171,2,0,13,2,0.013686572571303852,0.029033775306611817,-3.500059534335733,7.390933626832696,3,0,12,3,0.02495820809853341,0.04754855234118506,-7.471156859768865,14.113129954801124,1,0,14,1
difficulty_weighted,pawpularity,15,0.9527987897125567,0.9526643133299715,338.1753163655599,793.1958057900918,-411.5715471770857,976.2243295149241,1,4,10,5,28.052973065202746,65.98267085863569,-233.79097503673992,560.6271827294973,1,4,10,5,3.4620461628293966,8.03948033200801,-411.63402508862384,964.5006006565029,0,4,11,4
difficulty_weighted,sred,15,0.9433724075743916,0.9406672678088366,0.20073509216308594,0.24215453685894905,-25.333165232640276,29.094216755529974,1,0,14,1,0.015116472212394594,0.01885408330114439,-13.049408269667902,15.755902323424271,1,0,14,1,0.10354043261595687,0.10742127874776122,-27.548549151805762,26.127314859815964,1,0,14,1
mondrian_dis,imdb_wiki,15,0.9515383307836138,0.9523372429032808,0.23163655598958333,0.25691739117810286,-0.557131660746362,0.6305991089510428,3,0,12,3,-0.012357867064705215,0.016187068330085968,0.16184575903708814,0.20030413002515296,10,0,5,10,0.0009551440634753994,0.005269226322201131,-0.1868981128258987,1.146785014882375,7,0,8,7
mondrian_dis,mercari,15,0.9499933333333334,0.9501733333333334,0.008390092849731445,0.00850677364027926,-0.34803816561702816,0.3583426608405316,3,0,12,3,-8.602199136035586e-06,0.00019533827382729778,0.0009421086527317134,0.05504567397010837,7,0,8,7,0.000595745362741588,0.0017352372857024811,-0.17601419618126746,0.5320167978065746,7,0,8,7
mondrian_dis,pawpularity,15,0.9527987897125567,0.9517902168431669,-0.5631195068359375,1.9159752259967064,0.6601495566815114,2.2238266461313256,9,0,6,9,-0.02198630368415664,0.04202118791834825,0.1803338325664881,0.378509643423334,11,0,4,11,-0.008639074150478997,0.011613889267847432,1.0247309844626344,1.3310435925248927,11,0,4,11
mondrian_dis,sred,15,0.9433724075743916,0.9410279531109107,-0.02297982374827067,0.021003008348247077,2.918893407738361,2.7640296625161787,14,0,1,14,-0.0016642178915569886,0.0010165449688708712,1.4962891396196618,0.8301214042629597,14,0,1,14,-0.005905644905179767,0.017909131160535642,1.1764268269535545,4.745960503205876,9,0,6,9
weighted_dis,imdb_wiki,15,0.9515383307836138,0.951368349481557,-0.15182444254557292,0.19908730677283085,0.33870053158114005,0.4540918622138681,9,5,1,14,-0.010208038384732868,0.009021970582464005,0.13916566272950576,0.11729580086460852,10,5,0,15,-0.0012458826776955312,0.0033920354462124718,0.24681168687757835,0.7295824341415496,7,5,3,12
weighted_dis,mercari,15,0.9499933333333334,0.9503000000000001,-0.0002578894297281901,0.007867880325869723,0.011052190204209248,0.3208375786305888,6,3,6,9,-0.00033933687549148793,0.0003034037634195402,0.09308028687361992,0.08888826900193905,12,3,0,15,-0.0007094078457603348,0.0012830468514820092,0.22238144723059453,0.40276984054779236,9,3,3,12
weighted_dis,pawpularity,15,0.9527987897125567,0.9523617414691545,-1.4059844970703126,1.6155287115974986,1.7196643095320114,1.9921923684729848,9,5,1,14,-0.07382377222033996,0.07342745590674854,0.6718638468520725,0.7010075849999765,9,5,1,14,-0.010963238440877373,0.013321783034540898,1.307160138045596,1.6048823759469848,8,5,2,13
weighted_dis,sred,15,0.9433724075743916,0.9419296663660955,-0.025461214780807494,0.016785252053383798,3.449252159337016,2.072364123898748,15,0,0,15,-0.0017557577853848307,0.0007859858449407667,1.6629205629019046,0.5794448003598645,15,0,0,15,-0.007939717557282592,0.01036563087753837,2.092592799814518,2.602982490398748,12,0,3,12
