dataset,seed,base,calibration,bin,n,picp,mpiw,crps,disagreement_mean
imdb_wiki,0,xgb_point,marginal,low,1315,0.9429657794676806,36.35574722290039,5.359461650207523,0.6019369959831238
imdb_wiki,0,xgb_point,marginal,mid,1296,0.9621913580246914,36.35574722290039,4.81817722261628,1.26711905002594
imdb_wiki,0,xgb_point,marginal,high,1311,0.9519450800915332,36.35574722290039,5.04076210174005,2.369102954864502
imdb_wiki,0,xgb_point,mondrian_dis,low,1315,0.9429657794676806,36.71131134033203,5.368884460931658,0.6019369959831238
imdb_wiki,0,xgb_point,mondrian_dis,mid,1296,0.9614197530864198,34.998291015625,4.765431001375119,1.26711905002594
imdb_wiki,0,xgb_point,mondrian_dis,high,1311,0.9549961861174676,37.45905303955078,5.081093527204821,2.369102954864502
imdb_wiki,0,xgb_point,weighted_dis,low,1315,0.9429657794676806,36.35574722290039,5.359461650207523,0.6019369959831238
imdb_wiki,0,xgb_point,weighted_dis,mid,1296,0.9621913580246914,36.35574722290039,4.81817722261628,1.26711905002594
imdb_wiki,0,xgb_point,weighted_dis,high,1311,0.9519450800915332,36.35574722290039,5.04076210174005,2.369102954864502
imdb_wiki,0,xgb_point,difficulty_weighted,low,1315,0.9467680608365019,35.94513702392578,5.316149796052624,0.6019369959831238
imdb_wiki,0,xgb_point,difficulty_weighted,mid,1296,0.9529320987654321,32.57383728027344,4.586441949368799,1.26711905002594
imdb_wiki,0,xgb_point,difficulty_weighted,high,1311,0.950419527078566,34.17420959472656,4.8593516764523095,2.369102954864502
imdb_wiki,0,xgb_point,binned_weighted_dis,low,1315,0.9429657794676806,36.35574722290039,5.359461650207523,0.6019369959831238
imdb_wiki,0,xgb_point,binned_weighted_dis,mid,1296,0.9621913580246914,36.35574722290039,4.81817722261628,1.26711905002594
imdb_wiki,0,xgb_point,binned_weighted_dis,high,1311,0.9519450800915332,36.35574722290039,5.04076210174005,2.369102954864502
imdb_wiki,0,xgb_quantile,marginal,low,1315,0.9650190114068441,40.43513870239258,6.042974803627022,0.6019369959831238
imdb_wiki,0,xgb_quantile,marginal,mid,1296,0.9645061728395061,36.785884857177734,5.67163828447288,1.26711905002594
imdb_wiki,0,xgb_quantile,marginal,high,1311,0.9359267734553776,42.44221878051758,7.285994608285498,2.369102954864502
imdb_wiki,0,xgb_quantile,mondrian_dis,low,1315,0.9543726235741445,39.22348403930664,6.020071479867678,0.6019369959831238
imdb_wiki,0,xgb_quantile,mondrian_dis,mid,1296,0.9498456790123457,34.34218978881836,5.638058972251209,1.26711905002594
imdb_wiki,0,xgb_quantile,mondrian_dis,high,1311,0.9588100686498856,47.087467193603516,7.343374938625811,2.369102954864502
imdb_wiki,0,xgb_quantile,weighted_dis,low,1315,0.9536121673003802,38.69222640991211,6.011434868019104,0.6019369959831238
imdb_wiki,0,xgb_quantile,weighted_dis,mid,1296,0.9606481481481481,36.06819534301758,5.660677714860535,1.26711905002594
imdb_wiki,0,xgb_quantile,weighted_dis,high,1311,0.9458428680396643,44.2980842590332,7.2760824775419035,2.369102954864502
imdb_wiki,0,xgb_quantile,difficulty_weighted,low,1315,0.9574144486692016,43.75539779663086,6.28479314175297,0.6019369959831238
imdb_wiki,0,xgb_quantile,difficulty_weighted,mid,1296,0.9652777777777778,41.043479919433594,5.970771775638203,1.26711905002594
imdb_wiki,0,xgb_quantile,difficulty_weighted,high,1311,0.9427917620137299,54.180240631103516,8.050568140489021,2.369102954864502
imdb_wiki,0,xgb_quantile,binned_weighted_dis,low,1315,0.9543726235741445,39.265499114990234,6.020796626309133,0.6019369959831238
imdb_wiki,0,xgb_quantile,binned_weighted_dis,mid,1296,0.9645061728395061,36.764617919921875,5.671257765077937,1.26711905002594
imdb_wiki,0,xgb_quantile,binned_weighted_dis,high,1311,0.9427917620137299,43.82741165161133,7.29683799969017,2.369102954864502
imdb_wiki,0,sourcewise_stack,marginal,low,1315,0.9444866920152091,36.44355392456055,5.381583560334831,0.6019369959831238
imdb_wiki,0,sourcewise_stack,marginal,mid,1296,0.9606481481481481,36.44355392456055,4.873442386819629,1.26711905002594
imdb_wiki,0,sourcewise_stack,marginal,high,1311,0.9511823035850496,36.44355392456055,5.045856348213761,2.369102954864502
imdb_wiki,0,sourcewise_stack,mondrian_dis,low,1315,0.9520912547528517,37.1474609375,5.400241982530069,0.6019369959831238
imdb_wiki,0,sourcewise_stack,mondrian_dis,mid,1296,0.9583333333333334,35.3350830078125,4.830137440458739,1.26711905002594
imdb_wiki,0,sourcewise_stack,mondrian_dis,high,1311,0.9534706331045004,36.8361701965332,5.060133225376636,2.369102954864502
imdb_wiki,0,sourcewise_stack,weighted_dis,low,1315,0.9444866920152091,36.44355392456055,5.381583560334831,0.6019369959831238
