family,method,stratum,PICP,MPIW,CRPS,n_seeds,n_cal_mean,n_eval_mean
aug_theta_testsplit,global_cqr,0,0.952 +/- 0.026,1.765 +/- 0.122,0.2448 +/- 0.0177,5,554.0,181.4
aug_theta_testsplit,global_cqr,1,0.942 +/- 0.026,1.803 +/- 0.122,0.2591 +/- 0.0152,5,554.0,173.4
aug_theta_testsplit,global_cqr,2,0.946 +/- 0.014,1.889 +/- 0.119,0.2756 +/- 0.0096,5,554.0,200.2
aug_theta_testsplit,mondrian_cqr,0,0.945 +/- 0.020,1.637 +/- 0.095,0.2398 +/- 0.0226,5,185.0,181.4
aug_theta_testsplit,mondrian_cqr,1,0.941 +/- 0.031,1.805 +/- 0.185,0.2599 +/- 0.0127,5,184.0,173.4
aug_theta_testsplit,mondrian_cqr,2,0.953 +/- 0.022,1.975 +/- 0.236,0.2789 +/- 0.0140,5,185.0,200.2
semf_testsplit,global_cqr,0,0.951 +/- 0.017,2.874 +/- 0.146,0.3942 +/- 0.0377,5,554.0,176.0
semf_testsplit,global_cqr,1,0.936 +/- 0.023,3.004 +/- 0.147,0.4356 +/- 0.0420,5,554.0,194.6
semf_testsplit,global_cqr,2,0.937 +/- 0.016,3.270 +/- 0.182,0.4867 +/- 0.0364,5,554.0,184.4
semf_testsplit,mondrian_cqr,0,0.955 +/- 0.013,2.887 +/- 0.158,0.3945 +/- 0.0393,5,185.0,176.0
semf_testsplit,mondrian_cqr,1,0.924 +/- 0.037,2.937 +/- 0.237,0.4353 +/- 0.0372,5,184.0,194.6
semf_testsplit,mondrian_cqr,2,0.950 +/- 0.020,3.429 +/- 0.342,0.4922 +/- 0.0338,5,185.0,184.4
