family,seed,analysis,method,stratum,n_cal,n_eval,picp,mpiw,crps_uniform
semf_testsplit,0,regime,raw,full,0,555,0.18558558558558558,0.348675253069388,0.5803362647622565
semf_testsplit,0,regime,global_cqr,full,554,555,0.9387387387387387,3.2563717929359717,0.4763613860949499
semf_testsplit,0,regime,mask_matched_cqr,full,554,555,0.9387387387387387,3.2563717929359717,0.4763613860949499
semf_testsplit,0,regime,raw,no_img,0,555,0.1927927927927928,0.37245109225315487,0.6091972994313388
semf_testsplit,0,regime,global_cqr,no_img,554,555,0.9297297297297298,3.2801476321197387,0.4978681348246682
semf_testsplit,0,regime,mask_matched_cqr,no_img,554,555,0.9477477477477477,3.5083246253652556,0.5042351760492162
semf_testsplit,0,regime,raw,no_text,0,555,0.17477477477477477,0.35334683987023596,0.5887773300602447
semf_testsplit,0,regime,global_cqr,no_text,554,555,0.9387387387387387,3.2610433797368197,0.48076330091705444
semf_testsplit,0,regime,mask_matched_cqr,no_text,554,555,0.9423423423423424,3.3346433188631375,0.48288791991454
semf_testsplit,0,regime,raw,tab_only,0,555,0.19099099099099098,0.37991336313827245,0.6180428251630039
semf_testsplit,0,regime,global_cqr,tab_only,554,555,0.9333333333333333,3.287609903004856,0.5031247159127766
semf_testsplit,0,regime,mask_matched_cqr,tab_only,554,555,0.9495495495495495,3.6279724220859557,0.5128427392305903
semf_testsplit,0,uncert,global_cqr,0,554,193,0.9533678756476683,3.065617983606294,0.4148369077406253
semf_testsplit,0,uncert,mondrian_cqr,0,185,193,0.9430051813471503,2.9056771988022043,0.409534791581777
semf_testsplit,0,uncert,global_cqr,1,554,185,0.9351351351351351,3.208662400945829,0.48335193434786317
semf_testsplit,0,uncert,mondrian_cqr,1,184,185,0.8972972972972973,2.9043049841464517,0.476524361611224
semf_testsplit,0,uncert,global_cqr,2,554,177,0.9265536723163842,3.514234633155205,0.5361408939796712
semf_testsplit,0,uncert,mondrian_cqr,2,185,177,0.9491525423728814,3.7722363375186814,0.5430877909079984
semf_testsplit,0,region,global_cqr,0,554,18,0.9444444444444444,3.214774315650938,0.4350393736665226
semf_testsplit,0,region,mondrian_cqr,0,26,18,1.0,4.132540495728155,0.474860169554796
semf_testsplit,0,region,global_cqr,1,554,206,0.9514563106796117,3.2027223078099385,0.45592349122553366
semf_testsplit,0,region,mondrian_cqr,1,194,206,0.9223300970873787,2.876406199954942,0.44794460232951766
semf_testsplit,0,region,global_cqr,2,554,168,0.9345238095238095,3.245593981325681,0.46907557327864846
semf_testsplit,0,region,mondrian_cqr,2,176,168,0.9285714285714286,3.1127898353126953,0.46501020405382054
semf_testsplit,0,region,global_cqr,3,554,163,0.9263803680981595,3.339876215498072,0.5142633438860544
semf_testsplit,0,region,mondrian_cqr,3,158,163,0.9693251533742331,4.010344574287413,0.5355462035596288
aug_theta_testsplit,0,regime,raw,full,0,555,0.15855855855855855,0.13528413611368764,0.32192481737790574
aug_theta_testsplit,0,regime,cqr,full,554,555,0.9387387387387387,1.8183552723210137,0.2673688418721393
aug_theta_testsplit,0,uncert,global_cqr,0,554,172,0.936046511627907,1.7539446265545002,0.2682305312843937
aug_theta_testsplit,0,uncert,mondrian_cqr,0,185,172,0.936046511627907,1.7539446265545002,0.2682305312843937
aug_theta_testsplit,0,uncert,global_cqr,1,554,158,0.9430379746835443,1.7950799985776973,0.24640796994029446
aug_theta_testsplit,0,uncert,mondrian_cqr,1,184,158,0.9493670886075949,1.8558743545148946,0.24867552733147
aug_theta_testsplit,0,uncert,global_cqr,2,554,225,0.9377777777777778,1.8839380470911662,0.28142931825580025
aug_theta_testsplit,0,uncert,mondrian_cqr,2,185,225,0.9288888888888889,1.7774252605438232,0.278537322683162
semf_testsplit,1,regime,raw,full,0,555,0.28468468468468466,0.4383912881594182,0.4551160092163683
semf_testsplit,1,regime,global_cqr,full,554,555,0.9621621621621622,3.0523594661655533,0.4085076569983165
semf_testsplit,1,regime,mask_matched_cqr,full,554,555,0.9621621621621622,3.0523594661655533,0.4085076569983165
semf_testsplit,1,regime,raw,no_img,0,555,0.22882882882882882,0.3917878485970285,0.5051018401184227
semf_testsplit,1,regime,global_cqr,no_img,554,555,0.9405405405405406,3.0057560266031635,0.43597386545349415
semf_testsplit,1,regime,mask_matched_cqr,no_img,554,555,0.9621621621621622,3.464076434429453,0.4538809779265141
semf_testsplit,1,regime,raw,no_text,0,555,0.2756756756756757,0.43888779602589834,0.47148776382732505
semf_testsplit,1,regime,global_cqr,no_text,554,555,0.9567567567567568,3.0528559740320333,0.41849738266648306
semf_testsplit,1,regime,mask_matched_cqr,no_text,554,555,0.963963963963964,3.1405813894587324,0.4219089259300133
semf_testsplit,1,regime,raw,tab_only,0,555,0.22342342342342342,0.3856478756411118,0.5162031293736181
semf_testsplit,1,regime,global_cqr,tab_only,554,555,0.9369369369369369,2.9996160536472467,0.44311458909669355
semf_testsplit,1,regime,mask_matched_cqr,tab_only,554,555,0.9603603603603603,3.6224144914048217,0.4675791932496024
semf_testsplit,1,uncert,global_cqr,0,554,161,0.968944099378882,2.769938715329699,0.35651118728766396
semf_testsplit,1,uncert,mondrian_cqr,0,185,161,0.9751552795031055,2.799769721985514,0.3577591249328447
semf_testsplit,1,uncert,global_cqr,1,554,189,0.9629629629629629,2.9807304971276327,0.38196175392333737
semf_testsplit,1,uncert,mondrian_cqr,1,184,189,0.9735449735449735,3.170135793257895,0.3906147374177094
semf_testsplit,1,uncert,global_cqr,2,554,205,0.9560975609756097,3.340201495593551,0.47381793653288296
semf_testsplit,1,uncert,mondrian_cqr,2,185,205,0.9560975609756097,3.0670174533019927,0.4648204313294435
semf_testsplit,1,region,global_cqr,0,554,84,0.9642857142857143,2.8780424827257125,0.3458091201931301
semf_testsplit,1,region,mondrian_cqr,0,88,84,0.9880952380952381,3.342814318085565,0.37026350441296924
semf_testsplit,1,region,global_cqr,1,554,159,0.9433962264150944,3.16178237855463,0.470573957538952
semf_testsplit,1,region,mondrian_cqr,1,155,159,0.9559748427672956,3.803271107250484,0.496101485662902
semf_testsplit,1,region,global_cqr,2,554,187,0.9679144385026738,2.9770811284389405,0.36280031582201394
semf_testsplit,1,region,mondrian_cqr,2,209,187,0.9679144385026738,2.928226569251645,0.3604533375214882
semf_testsplit,1,region,global_cqr,3,554,125,0.976,3.1429309277172335,0.44007092184346197
semf_testsplit,1,region,mondrian_cqr,3,102,125,0.952,2.856638612283314,0.4323614195566388
aug_theta_testsplit,1,regime,raw,full,0,555,0.11351351351351352,0.11896013848374488,0.31319979055513075
aug_theta_testsplit,1,regime,cqr,full,554,555,0.972972972972973,2.018843409714398,0.2604039097697029
aug_theta_testsplit,1,uncert,global_cqr,0,554,172,0.9825581395348837,1.9579375835005628,0.23649424449918977
aug_theta_testsplit,1,uncert,mondrian_cqr,0,185,172,0.9593023255813954,1.6441086333158403,0.2229308600680074
aug_theta_testsplit,1,uncert,global_cqr,1,554,186,0.9731182795698925,1.999348068750033,0.2576637603423034
aug_theta_testsplit,1,uncert,mondrian_cqr,1,184,186,0.978494623655914,2.0402106328677108,0.2593636682782945
aug_theta_testsplit,1,uncert,global_cqr,2,554,197,0.9644670050761421,2.09042683879131,0.2838664997190662
aug_theta_testsplit,1,uncert,mondrian_cqr,2,185,197,0.9746192893401016,2.2557391306470493,0.29063769680074064
semf_testsplit,2,regime,raw,full,0,555,0.11531531531531532,0.2435403411329759,0.5967730001833463
semf_testsplit,2,regime,global_cqr,full,554,555,0.9135135135135135,3.0603124452691377,0.4765024391074061
semf_testsplit,2,regime,mask_matched_cqr,full,554,555,0.9135135135135135,3.0603124452691377,0.4765024391074061
semf_testsplit,2,regime,raw,no_img,0,555,0.15855855855855855,0.2599424960489148,0.6294193281208552
semf_testsplit,2,regime,global_cqr,no_img,554,555,0.9063063063063063,3.076714600185076,0.5038882780813004
semf_testsplit,2,regime,mask_matched_cqr,no_img,554,555,0.9297297297297298,3.426612192024689,0.512020835181886
semf_testsplit,2,regime,raw,no_text,0,555,0.15675675675675677,0.2739974523322172,0.6100598906113823
semf_testsplit,2,regime,global_cqr,no_text,554,555,0.918918918918919,3.0907695564683784,0.4898547036040936
semf_testsplit,2,regime,mask_matched_cqr,no_text,554,555,0.9279279279279279,3.2247651182985266,0.493062810653808
semf_testsplit,2,regime,raw,tab_only,0,555,0.14414414414414414,0.26542129614564525,0.6455899301321678
semf_testsplit,2,regime,global_cqr,tab_only,554,555,0.9009009009009009,3.0821934002818066,0.5136383021105694
semf_testsplit,2,regime,mask_matched_cqr,tab_only,554,555,0.9387387387387387,3.5168341290166394,0.5235530237348329
semf_testsplit,2,uncert,global_cqr,0,554,197,0.9238578680203046,2.9458423696101224,0.44955944562268285
semf_testsplit,2,uncert,mondrian_cqr,0,185,197,0.9441624365482234,3.1544825258243456,0.45549731001348825
semf_testsplit,2,uncert,global_cqr,1,554,190,0.9,3.038215328837454,0.4721068079029635
semf_testsplit,2,uncert,mondrian_cqr,1,184,190,0.8947368421052632,2.98915264659513,0.47109624608553385
semf_testsplit,2,uncert,global_cqr,2,554,168,0.9166666666666666,3.2195330228098866,0.5130675560439213
semf_testsplit,2,uncert,mondrian_cqr,2,185,168,0.9166666666666666,3.0804434572780894,0.5102783231227078
semf_testsplit,2,region,global_cqr,0,554,199,0.949748743718593,3.064892587956197,0.41711586721342475
semf_testsplit,2,region,mondrian_cqr,0,206,199,0.949748743718593,3.064892587956197,0.41711586721342475
semf_testsplit,2,region,global_cqr,1,554,162,0.8765432098765432,3.0284874956630503,0.5366852161889422
semf_testsplit,2,region,mondrian_cqr,1,154,162,0.9320987654320988,3.5550341058596917,0.5445937668946025
semf_testsplit,2,region,global_cqr,2,554,179,0.9050279329608939,3.084105436246388,0.4821908660976174
semf_testsplit,2,region,mondrian_cqr,2,166,179,0.8938547486033519,2.7502496777566785,0.4742127224393917
semf_testsplit,2,region,global_cqr,3,554,15,0.9333333333333333,3.0593289823713525,0.5465084050037802
semf_testsplit,2,region,mondrian_cqr,3,28,15,1.0,4.811092035992032,0.589428347400532
aug_theta_testsplit,2,regime,raw,full,0,555,0.12072072072072072,0.11737859430764844,0.3243368879625274
aug_theta_testsplit,2,regime,cqr,full,554,555,0.9207207207207208,1.6796894063283732,0.26205323385210394
aug_theta_testsplit,2,uncert,global_cqr,0,554,213,0.9248826291079812,1.617113987884611,0.24719364413607162
aug_theta_testsplit,2,uncert,mondrian_cqr,0,185,213,0.9248826291079812,1.6285328073121013,0.2475062303730955
aug_theta_testsplit,2,uncert,global_cqr,1,554,181,0.9060773480662984,1.6627064044304316,0.27337843326837263
aug_theta_testsplit,2,uncert,mondrian_cqr,1,184,181,0.9060773480662984,1.6534763857804609,0.27319600290312324
aug_theta_testsplit,2,uncert,global_cqr,2,554,161,0.9316770186335404,1.781568210502589,0.2689801376730372
aug_theta_testsplit,2,uncert,mondrian_cqr,2,185,161,0.9316770186335404,1.8072519818818347,0.26974550353225557
semf_testsplit,3,regime,raw,full,0,555,0.1873873873873874,0.2935771638365632,0.489045231246299
semf_testsplit,3,regime,global_cqr,full,554,555,0.9513513513513514,3.052604584360294,0.41574457337195597
semf_testsplit,3,regime,mask_matched_cqr,full,554,555,0.9513513513513514,3.052604584360294,0.41574457337195597
semf_testsplit,3,regime,raw,no_img,0,555,0.14594594594594595,0.25213764632184704,0.5491194587110367
semf_testsplit,3,regime,global_cqr,no_img,554,555,0.9369369369369369,3.0111650668455776,0.4439789898577596
semf_testsplit,3,regime,mask_matched_cqr,no_img,554,555,0.9567567567567568,3.3192702282739774,0.4539549583036036
